cate1_a,col_nm_a,freq,mean_link,score
교육,지원사유 보호자부재,1,0.33,0.33
공공행정,평가시스템명,1,0.33,0.33
보건,2022년12월,1,0.33,0.33
보건,의료기관명,1,0.33,0.33
교육,신청대비배정비율,1,0.33,0.33
보건,2021년 9월,1,0.33,0.33
공공행정,매수,1,0.33,0.33
보건,연락처,1,0.31,0.31
교육,등록번호,1,0.31,0.31
교육,교원수 합계,1,0.31,0.31
보건,전체접종률,1,0.3,0.3
교육,실기접수,1,0.3,0.3
공공행정,부서코드,1,0.3,0.3
교육,어린이집전화번호,1,0.3,0.3
보건,브랜디,1,0.3,0.3
