학교명_norm,시도_norm,학교급_norm,설립,남여공학,도로명주소,ai_flag,지정연도,유형,sw_flag,지정연도_sw,키,몸무게,혈당식전(mgdl),총콜레스테롤(mgdl),수축기,이완기,cn_학급수,cn_학생수,학교명_stem_comp,컴퓨터실습실수,컴퓨터수,운영체제,개월수,수강학생수,학교명_stem_closed,폐교연도,활용 구분,토지면적(단위 제곱미터),건물면적(단위 제곱미터),ai_sw_both
백석중학교,경기,중,공립,남여공학,경기도 고양시 일산동구 호수로 404 . 백석중학교 (백석동. 백석중학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
백신중학교,경기,중,공립,남여공학,경기도 고양시 일산동구 강촌로 89 (마두동.백신중학교),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
가람중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 화신로 122 (행신동.가람중학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
백양중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 화신로 236 (화정동. 백양중학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
신능중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 충장로 78 (행신동),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
신일중학교,경기,중,공립,남여공학,경기도 고양시 일산서구 고봉로 177 (일산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
신원중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 신원2로 6 (신원동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
오마중학교,경기,중,공립,남여공학,경기도 고양시 일산서구 주엽로 213 (주엽동),0,,,1,2020.0,,,,,,,,,,,,,,,,,,,,0
성사중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 호국로 887 성사중학교 (성사동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
서정중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 서정마을로 22 (행신동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
원당중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 마상로 1 (주교동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
일산동중학교,경기,중,공립,남여공학,경기도 고양시 일산서구 현중로 48 (탄현동),0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
일산중학교,경기,중,공립,남여공학,경기도 고양시 일산서구 원일로 53 (일산동),0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
