support,itemsets_str
0.12337398373983739,"col_cnt_bucket=풍부(11-20), rec_bucket=소(≤100)"
0.1230691056910569,"rec_bucket=소(≤100), val_sim_bucket=중값유사"
0.12296747967479675,"cate2=고등교육, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.12296747967479675,"cate1=교육, cate2=고등교육, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.12266260162601626,"cate1=교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.1225609756097561,"cate1=교육, col_cnt_bucket=표준(6-10)"
0.12245934959349593,"cate1=교육, col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.12195121951219512,"cate1=교육, col_type=범주형, pk_bucket=저PK(0-0.3)"
0.12195121951219512,"cate1=교육, col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.12184959349593497,"cate1=교육, col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.12164634146341463,"domain_spread=단독, rec_bucket=소(≤100)"
0.12134146341463414,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), pk_bucket=저PK(0-0.3)"
0.12134146341463414,"cate2=고등교육, col_cnt_bucket=초풍부(21+), pk_bucket=저PK(0-0.3)"
0.12113821138211382,"cate1=교육, cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.12113821138211382,"cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.12052845528455285,"cate1=교육, cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.12052845528455285,"cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.1198170731707317,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.1198170731707317,"cate2=고등교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.11971544715447155,"cate1=교육, col_type=수치형, val_sim_bucket=높은값유사"
0.11951219512195121,"cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.11951219512195121,"cate1=교육, cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.11941056910569106,"col_cnt_bucket=초풍부(21+), domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
